SKU*,Warehouse Locations,Qty In Stock
NG22359,"E8F,",127
NG22360,"I2S,",3
NG22364,,
NG22365,,0
NG22368,,1
NG22373A-6,,
NG22373A-C,,
NG22373B-6,,-1
NG22373C-6,,0
NG22378,"Kitchen 8,",1
NG22379A,,0
NG22379B,,0
NG22382,"Kitchen #30,",0
NG22383,,0
NG22386,"I3F,",11
NG22394,"Kitchen #31,",0
NG22405,"E10F,E7M,",1199
NG22405B,,
NG22405P,,
NG22407,"A10M,A12F0,kitchen4,",2261
NG22409,"C4S,",47
NG22415,"C7F0,kitchen25,",1564
NG22415B,,0
NG22418,,0
NG22422,"Kitchen # 26,",0
NG22422C,,
NG22426,,0
NG22427,"J6F,",193
NG22431,"F9H,F9S,",103
NG22439,"I1H,J1F,",5704
NG22439P,,0
NG22441,,0
NG22443,"D5M,D7F,",1204
NG22444,,0
NG22445,"LROOM,",0
NG22446,,0
NG22446F,"F3S,",71
NG22449,,
NG22455,"A6S,",833
NG22456,"A9H,A9S,",311
NG22460,,0
NG22470,,0
NG22473,"C9F,",478
NG22474,,0
NG22476,"I2S,",128
NG22479,,
NG22481,"C6F,",258
NG22483,,0
NG22490,,0
NG22493,"LROOM,",0
NG22496,,0
NG22498,"B4S,",831
NG22505,,0
NG22506,"D5F,",1115
NG22509,,0
NG22513,"C4F,",777
NG22515,,0
NG22519A,"C2s,C5H,",364
NG22519B,"C2S,C5H,",482
NG22520,"F3F,",86
NG22520-K,"F3F,F4H,",3
NG22520-P,"F3F,F4H,",11
NG22522,"K6F,",893
NG22522-K,"K6F,",144
NG22522-P,"K6F,",144
NG22524,"D6F,F6M,",2083
NG22524-K,"D6F,F6M,",144
NG22524-P,"D6F,F6M,",144
NG22525,,0
NG22525-K,,-2
NG22525-P,,-2
NG22526,,0
NG22527-K,,48
NG22527-P,,48
NG22528A,"K2H,",289
NG22528B,"K2H,",325
NG22531A,,0
NG22531B,,0
NG22533,"A9H,A9S,",2825
NG22533-6,"A9H,A9S,",0
NG22540,"kitchen #23,",16
NG22547,,0
NG22549,"E3S0,E8H,",96
NG22556A,"G2M,G3S,H9M,",5070
NG22556A-Z,,0
NG22556B,"G3S,G8M,",410
NG22556C,"G3S,H10M,",1118
NG22556D,"G3S,",1259
NG22556DISPLAY,"G4M,G5F,",0
NG22556E,"G3S,G7H,",4530
NG22556END,"G2S,H6H,",5049
