
A,1,2,3,4,5,6,7,8,9,10,11,12,13
F,NG23535B(92),NG22158-12(177),NG22224A(48),NG23501A(743),NG22268-12(356),,NG22235-G(10),,,NG23426A(246),,,
F,,Q-NG22158-12(0),NG22224B(50),NG23501B(743),NG22304-12(482),,NG22235-PK(9),,,NG23426B(258),,,
F,,R-NG21248-24(0),NG22386(11),,NG23171(750),,NG22235-PL(9),,,NG23487(-18),,,
F,,R-NG22079-6(0),R-NG21036-12(0),,Q-NG21890-36(0),,NG22235-R(10),,,R-NG23048(0),,,
F,,R-NG22158-12(0),,,R-NG23171(0),,NG22235-Y(8),,,,,,
F,,,,,,,NG22236-12(237),,,,,,
F,,,,,,,NG22236-A(9),,,,,,
F,,,,,,,NG22236-B1(9),,,,,,
F,,,,,,,NG22236-G(9),,,,,,
F,,,,,,,NG22236-O(9),,,,,,
F,,,,,,,NG22236-R(10),,,,,,
F,,,,,,,NG22236-Y(10),,,,,,
F,,,,,,,NG22255(316),,,,,,
F,,,,,,,R-NG22235-12(0),,,,,,
F,,,,,,,R-NG22236-12(0),,,,,,

J,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,NG23365(1076),,NG23129(1005),NG21613-12(609),,,NG23380(231),,,,,
H,,R-NG23365(0),,R-NG23129(0),NG21824(165),,,,,,,,
M,,,,,,R-NG21613-12(0),,,,,,,
S,,,,,NG23152(151),,NG21599(33),,NG21039A-6(128),,,,
S,,,,,NG23155(80),,NG23135(92),,NG21039B-6(116),,,,
F,NG22439(5704),,,,,NG22427(193),NG22156-12(599),NG21824(165),NG23407(171),NG22033A-F(312),,,
F,NG23458(-36),,,,,R-NG22427(0),NG22734(0),,,R-NG22033A-F(413),,,
F,NG23458A(1694),,,,,,NG23380(231),,,,,,
F,NG23458B(1674),,,,,,NG23402(165),,,,,,
F,R-NG22439(0),,,,,,Q-NG22156-12(0),,,,,,
F,,,,,,,R-NG22156-12(0),,,,,,

K,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,NG22528A(289),NG21555B(609),,NG21039A-6(128),NG21928-24(2575),,,,,,,
H,,NG22528B(325),NG21555C(655),,NG21039B-6(116),Q-NG21928-24(0),,,,,,,
H,,,NG21982A(92),,,,,,,,,,
H,,,NG21982B(90),,,,,,,,,,
M,,,NG22105-48(0),,NG22767(63),,NG21035-12(864),,,,,,
M,,,NG22116-24(159),,,,NG21036-12(587),,,,,,
M,,,,,,,R-NG21035-12(0),,,,,,
M,,,,,,,R-NG21036-12(0),,,,,,
S,,,NG21555B(609),,NG21981A-10(395),,,,,,,,
S,,,NG21555C(655),,NG21981B-10(321),,,,,,,,
S,,,NG21982-12(0),,,,,,,,,,
S,,,NG21982A(92),,,,,,,,,,
S,,,NG21982B(90),,,,,,,,,,
F,NG23521A(80),,NG23522(0),NG21045A-10(36),,NG21552B-10(126),NG21045B-10(74),,,,,,
F,NG23521B(111),,NG23522A(53),,,NG22522(893),NG21579(218),,,,,,
F,,,NG23522B(71),,,NG22522-K(144),NG23515(0),,,,,,
F,,,,,,NG22522-P(144),NG23515A(176),,,,,,
F,,,,,,NG23058(67),NG23515B(173),,,,,,
F,,,,,,R-NG22522(0),,,,,,,
F,,,,,,R-NG23058(-1),,,,,,,

L,1,2,3,4,5,6,7,8,9,10,11,12,13

H,NG22074-8(40),,NG22168B(28),,NG21083-12(268),,,,,,,,
H,NG22074A(18),,NG23152(151),,NG21085-12(1271),,,,,,,,
H,NG22074B(27),,NG23155(80),,NG22126-12(282),,,,,,,,
H,NG22074C(27),,,,Q-NG21083-12(0),,,,,,,,
H,NG22074D(27),,,,Q-NG21085-12(0),,,,,,,,
H,NG22074E(27),,,,Q-NG22126(0),,,,,,,,
